entity,name,prefix,reference,billing-authority,government-organisation,local-planning-authority,national-park,notes,opendatacommunities-uri,parliament-thesaurus,region,statistical-geography,twitter,website,wikidata,wikipedia,entry-date,start-date,end-date
396,South Downs National Park Authority,national-park-authority,Q20198711,E6410,OT546,E60000325,E26000010,,http://opendatacommunities.org/id/national-park-authority/south-downs,68260,,E26000010,,https://www.southdowns.gov.uk,Q20198711,,2025-02-05,,
397,Lake District National Park Authority,national-park-authority,Q27159704,E6403,OT220,E60000320,E26000003,,http://opendatacommunities.org/id/national-park-authority/lake-district,42263,,E26000003,,https://www.lakedistrict.gov.uk,Q27159704,,2025-02-05,,
398,Yorkshire Dales National Park Authority,national-park-authority,Q27178932,E6407,OT547,E60000327,E26000012,,http://opendatacommunities.org/id/national-park-authority/yorkshire-dales,86781,,E26000012,yorkshire_dales,https://www.yorkshiredales.org.uk,Q27178932,,2025-02-05,,
399,Broads Authority,national-park-authority,Q4972284,E6408,OT216,E60000326,E26000007,,http://opendatacommunities.org/id/national-park-authority/the-broads,16547,,E26000007,,http://www.broads-authority.gov.uk/broads-authority,Q4972284,Broads_Authority,2025-02-05,1978-01-01,
400,Dartmoor National Park Authority,national-park-authority,Q5225646,E6401,OT217,E60000318,E26000001,,http://opendatacommunities.org/id/national-park-authority/dartmoor,28306,,E26000001,,https://www.dartmoor.gov.uk,Q5225646,Dartmoor_National_Park_Authority,2025-02-05,,
401,New Forest National Park Authority,national-park-authority,Q72617158,E6409,OT222,E60000321,E26000009,,http://opendatacommunities.org/id/national-park-authority/new-forest,58466,,E26000009,,https://www.newforestnpa.gov.uk,Q72617158,,2025-02-05,,
402,North York Moors National Park Authority,national-park-authority,Q72617669,E6404,OT223,E60000322,E26000005,,http://opendatacommunities.org/id/national-park-authority/north-york-moors,59402,,E26000005,northyorkmoors,https://www.northyorkmoors.org.uk,Q72617669,,2025-02-05,,
403,Exmoor National Park Authority,national-park-authority,Q72617784,E6402,OT219,E60000319,E26000002,,http://opendatacommunities.org/id/national-park-authority/exmoor,33701,,E26000002,,https://www.exmoor-nationalpark.gov.uk,Q72617784,,2025-02-05,,
404,Northumberland National Park Authority,national-park-authority,Q72617890,E6405,OT543,E60000323,E26000004,,http://opendatacommunities.org/id/national-park-authority/northumberland,59862,,E26000004,,https://www.northumberlandnationalpark.org.uk,Q72617890,,2025-02-05,,
405,Peak District National Park Authority,national-park-authority,Q72617988,E6406,OT545,E60000324,E26000006,,http://opendatacommunities.org/id/national-park-authority/peak-district,61261,,E26000006,,https://www.peakdistrict.gov.uk,Q72617988,,2025-02-05,,
